road,id,model_type,name,lat,lon,length
N1,1000705,link,link 353,21.64940245,92.0733049,10
N1,1000706,bridge,bridge 353,21.649083,92.0733049,251
N1,1000707,link,link 354,21.6479441,92.07333265,10
N1,1000708,bridge,bridge 354,21.6468052,92.0733604,447
N1,1000709,link,link 355,21.6428608,92.0732216,2779
N1,1000710,bridge,bridge 355,21.6213604,92.0724438,266
N1,1000711,link,link 356,21.6197771,92.0705271,399
N1,1000712,bridge,bridge 356,21.617166,92.0679993,109
N1,1000713,link,link 357,21.6150556,92.0667771,255
N1,1000714,bridge,bridge 357,21.610086825,92.06399479375,179
N1,1000715,link,link 358,21.6086962125,92.063205746875,10
N1,1000716,bridge,bridge 358,21.6073056,92.0624167,797
N1,1000717,link,link 359,21.6039167,92.0619444,57
N1,1000718,bridge,bridge 359,21.603029505025123,92.061920540201,341
N1,1000719,link,link 360,21.60037570251256,92.0618491701005,10
N1,1000720,bridge,bridge 360,21.5977219,92.0617778,601
N1,1000721,link,link 361,21.5951108,92.0611944,81
N1,1000722,bridge,bridge 361,21.59379884019608,92.06161870980392,326
N1,1000723,link,link 362,21.59119092009804,92.06246215490197,10
N1,1000724,bridge,bridge 362,21.588583,92.0633056,503
N1,1000725,link,link 363,21.5875274,92.0650278,100
N1,1000726,bridge,bridge 363,21.5861941,92.0650278,168
N1,1000727,link,link 364,21.58551355,92.065125,10
N1,1000728,bridge,bridge 364,21.584833,92.0652222,730
N1,1000729,link,link 365,21.5791938,92.0668049,129
N1,1000730,bridge,bridge 365,21.5769993,92.0697216,840
N1,1000731,link,link 366,21.5717216,92.0718049,694
N1,1000732,bridge,bridge 366,21.564,92.0702493,326
N1,1000733,link,link 367,21.5629444,92.0700271,134
N1,1000734,bridge,bridge 367,21.5618056,92.0696382,120
N1,1000735,link,link 368,21.56131945,92.06945765,10
N1,1000736,bridge,bridge 368,21.5608333,92.0692771,746
N1,1000737,link,link 369,21.5555,92.0679716,195
N1,1000738,bridge,bridge 369,21.5553056,92.067916,475
N1,1000739,link,link 370,21.55188875,92.06749934999999,10
N1,1000740,bridge,bridge 370,21.5484719,92.0670827,228
N1,1000741,link,link 371,21.546583,92.0668327,1935
N1,1000742,bridge,bridge 371,21.5283049,92.0650833,212
N1,1000743,link,link 372,21.52738825,92.06513885,10
N1,1000744,bridge,bridge 372,21.5264716,92.0651944,343
N1,1000745,link,link 373,21.5249716,92.06540275,10
N1,1000746,bridge,bridge 373,21.5234716,92.0656111,158
N1,1000747,link,link 374,21.52277715,92.06573610000001,10
N1,1000748,bridge,bridge 374,21.5220827,92.0658611,161
N1,1000749,link,link 375,21.520666,92.0661667,555
N1,1000750,bridge,bridge 375,21.5161111,92.068166,423
N1,1000751,link,link 376,21.514402750000002,92.0690132,10
N1,1000752,bridge,bridge 376,21.5126944,92.0698604,27
N1,1000753,link,link 377,21.5125556,92.0699438,512
N1,1000754,bridge,bridge 377,21.5083889,92.0717493,204
N1,1000755,link,link 378,21.50768055,92.07233264999999,10
N1,1000756,bridge,bridge 378,21.5069722,92.072916,283
N1,1000757,link,link 379,21.505,92.0745549,911
