road,lat,lon,model_type,road_to,condition,length,id,name
N1,23.0901108,91.3494163,bridge,,B,311,1000228,bridge 111
N1,23.0876108,91.3508889,link,,,656,1000229,link 115
N1,23.0849719,91.3524722,bridge,,A,527,1000230,bridge 112
N1,23.0828884,91.35366665,link,,,527,1000231,link 116
N1,23.0808049,91.3548611,bridge,,A,210,1000232,bridge 113
N1,23.0792493,91.3558333,link,,,975,1000233,link 117
N1,23.0732493,91.3594167,bridge,,B,234,1000234,bridge 114
N1,23.0712493,91.3599722,link,,,1120,1000235,link 118
N1,23.0636944,91.3616389,bridge,,C,18,1000236,bridge 115
N1,23.0635278,91.3616389,link,,,2346,1000237,link 119
N1,23.0427774,91.3654444,bridge,,A,336,1000238,bridge 116
N1,23.0398052,91.3656111,link,,,1539,1000239,link 120
N1,23.029416,91.3656389,bridge,,A,287,1000240,bridge 117
N1,23.0269716,91.3655,link,,,1438,1000241,link 121
N1,23.0185271,91.3708327,bridge,,A,723,1000242,bridge 118
N1,23.0163052,91.37340215,link,,,723,1000243,link 122
N1,23.0140833,91.3759716,bridge,,C,125,1000244,bridge 119
N1,23.0132778,91.3769438,link,,,739,1000245,link 123
N1,23.0095556,91.3813604,intersection,N104,A,1407,1000246,intersection
N1,23.0018889,91.3920552,link,,,2492,1000247,link 124
N1,22.9961941,91.4005,bridge,,D,939,1000248,bridge 120
N1,22.9906941,91.4072222,link,,,5770,1000249,link 125
N1,22.9624167,91.4416941,bridge,,A,219,1000250,bridge 121
N1,22.9611667,91.4433886,link,,,6570,1000251,link 126
N1,22.9496663,91.5007778,bridge,,A,719,1000252,bridge 122
N1,22.9482774,91.50725,link,,,4854,1000253,link 127
N1,22.9156667,91.5259438,bridge,,A,865,1000254,bridge 123
N1,22.9085833,91.5294993,link,,,1329,1000255,link 128
N1,22.9046667,91.5314438,bridge,,A,536,1000256,bridge 124
N1,22.9003333,91.5333608,link,,,1473,1000257,link 129
N1,22.8921663,91.5353052,bridge,,A,62,1000258,bridge 125
N1,22.8916386,91.5354719,link,,,1062,1000259,link 130
N1,22.8829993,91.5381663,bridge,,C,914,1000260,bridge 126
N1,22.87908265,91.5394441,link,,,914,1000261,link 131
N1,22.875166,91.5407219,bridge,,A,85,1000262,bridge 127
N1,22.8744438,91.5409719,link,,,247,1000263,link 132
N1,22.8731382,91.5414441,bridge,,A,556,1000264,bridge 128
N1,22.8707771,91.5423052,link,,,556,1000265,link 133
N1,22.868416,91.5431663,bridge,,A,281,1000266,bridge 129
N1,22.8661111,91.5439997,link,,,857,1000267,link 134
N1,22.86111772,91.54512585,bridge,,A,177,1000268,bridge 130
N1,22.86035051,91.54529887,link,,,177,1000269,link 135
N1,22.8595833,91.5454719,bridge,,A,246,1000270,bridge 131
N1,22.8575556,91.5456386,link,,,411,1000271,link 136
N1,22.856,91.5457219,bridge,,A,113,1000272,bridge 132
N1,22.8555278,91.54577745,link,,,113,1000273,link 137
N1,22.8550556,91.545833,bridge,,A,721,1000274,bridge 133
N1,22.8486663,91.5463608,link,,,738,1000275,link 138
N1,22.8485274,91.5463886,bridge,,A,390,1000276,bridge 134
N1,22.84687465,91.546958,link,,,390,1000277,link 139
N1,22.8452219,91.5475274,bridge,,A,240,1000278,bridge 135
N1,22.8442358,91.54787465,link,,,240,1000279,link 140
N1,22.8432497,91.5482219,bridge,,C,352,1000280,bridge 136
N1,22.8401941,91.5490552,link,,,666,1000281,link 141
N1,22.8372497,91.5492497,bridge,,A,686,1000282,bridge 137
N1,22.8313882,91.5503611,link,,,1558,1000283,link 142
N1,22.8239438,91.5528333,bridge,,A,127,1000284,bridge 138
N1,22.8228049,91.5531389,link,,,1467,1000285,link 143
N1,22.8110556,91.5563889,bridge,,A,406,1000286,bridge 139
N1,22.8095278,91.5571528,link,,,406,1000287,link 144
N1,22.808,91.5579167,bridge,,B,252,1000288,bridge 140
N1,22.8069861,91.5584167,link,,,252,1000289,link 145
N1,22.8059722,91.5589167,bridge,,B,1,1000290,bridge 141
N1,22.8059444,91.5589167,link,,,156,1000291,link 146
N1,22.8045833,91.5591111,bridge,,A,844,1000292,bridge 142
N1,22.7974719,91.5613611,link,,,1337,1000293,link 147
N1,22.7934163,91.5633333,bridge,,B,472,1000294,bridge 143
N1,22.79151355,91.56438885,link,,,472,1000295,link 148
N1,22.7896108,91.5654444,bridge,,A,34,1000296,bridge 144
N1,22.7893608,91.5655833,link,,,1028,1000297,link 149
N1,22.7813327,91.5695271,bridge,,A,6,1000298,bridge 145
N1,22.7812216,91.5695827,link,,,21,1000299,link 150
N1,22.7811382,91.5696382,bridge,,A,485,1000300,bridge 146
N1,22.7771104,91.5713327,link,,,960,1000301,link 151
N1,22.7732771,91.5733604,bridge,,A,24,1000302,bridge 147
N1,22.7730271,91.5734716,link,,,492,1000303,link 152
N1,22.7693604,91.5756104,bridge,,A,2,1000304,bridge 148
N1,22.7677774,91.57680485,link,,,2,1000305,link 153
N1,22.7661944,91.5779993,bridge,,A,528,1000306,bridge 149
